Title,Points1_2019,Points2_2019,Points1_2020,Points2_2020,Points1_2021,Points2_2021
Finance and Economics,307,398,293,392,318   ,
Business with Entrepreneurship,297,328,280,356,287   ,
Rural Enterprise and Agri-Business                 ,280,367,281,352,291   ,
Film and Documentary                               ,287,360,304,379,310   ,301
Heritage Studies                                   ,238,308,220,281,252   ,
Contemporary Art,260,340,679,870,790  ,
Design,309,377,303,356,331   ,
"Education (Art, Design and Graphics)",,,,,406   ,
International Hotel Management,225,289,242,330,218   ,
International Tourism Management,261,290,278,350,252   ,
Culinary and Gastronomic Science,225,316,206,337,235   ,
Event Management with Public Relations             ,209,289,212,328,230   ,
Retail Management,219,319,,,,
Construction Management,260,312,260,336,302   ,
Quantity Surveying and Construction Economics      ,280,340,288,350,304   ,
Architectural Technology                           ,251,321,265,337,281   ,273
Civil Engineering,270,362,290,383,377   ,
Software and Electronic Engineering                ,301,351,300,393,300   ,
Mechanical Engineering,336,389,330,401,400   ,
Energy Engineering                                 ,281,328,293,366,312   ,
Biomedical Engineering,331,383,313,393,331   ,
Agricultural Engineering,301,365,309,385,304   ,
Engineering (Common entry to Agri/Biomed/Energy/Mech Eng),346,406,340,405,413   ,
Manufacturing Engineering Design,,,309,379,336   ,
Applied Freshwater and Marine Biology,300,360,327,377,366   ,
Applied Biology and Biopharmaceutical Science,317,376,337,390,381   ,
Chemical and Pharmaceutical Science,307,346,336,388,356   ,
Physics and Instrumentation,373,378,363,408,301   ,
Science (Undenominated),327,377,372,403,445   ,
Medical Science,451,486,473,500,517   ,510
Forensic Science and Analysis                      ,300,366,317,387,408   ,
Computing in Software Development                  ,275,327,270,315,310   ,
Computing and Digital Media,270,327,282,356,270   ,
Agriculture and Environmental Management (Mountbellew Campus),297,339,289,371,340   ,
Sport and Exercise Science,350,379,356,409,376   ,366
Public Health Nutrition                            ,364,397,368,409,368   ,
General Nursing                                    ,389,400,422,441,440  ,
Psychiatric Nursing,346,370,367,377,369   ,
Outdoor Education                                  ,210,298,252,262,269   ,
History and Geography                              ,228,296,244,380,201   ,
Applied Social Care                                ,260,297,266,298,265   ,
Early Childhood Education and Care                 ,278,319,270,327,281   ,227
Geography and Outdoor Education                    ,,,244,391,261   ,
Community Development and Youth Work (Level 8)     ,,,,,      ,
Education (Design Graphics and Construction),376,389,377,411,410   ,
Furniture Design and Manufacture - Letterfrack Campus,271,350,,,346   ,
Furniture and Wood Technology - Letterfrack Campus,270,352,,,360   ,
Furniture and Digital Manufacturing                ,,,,,      ,
Furniture Design  Making and Technology - Common E ,,,284,369,486   ,467
Business Studies (Cork),269,359,252,369,269   ,242
Accounting and Finance,251,388,303,388,260   ,226
Computing Science                                  ,228,327,325,393,300   ,289
Communications and Media Production,,,,,,
Business                                           ,251,302,390,432,264   ,264
Accounting & Finance,307,314,253,346,      ,251
"Business Studies - (HRM, Limerick)",269,269,,,377   ,377
International Hospitality Management (Limerick),327,327,253,253,,
Business (Marketing)                               ,,,,,289   ,270
Business Studies (Dublin),246,297,248,281,250   ,228
Accounting and Finance,181,309,202,343,242   ,242
Business Studies (HRM),217,290,218,236,      ,
Law,225,308,228,328,245   ,242
International Hospitality Management (Dublin),254,272,,,,
"Business Studies (Marketing, Dublin)",246,330,218,321,264   ,264
Computing Science,217,269,220,298,251   ,251
Communications and Media Production                ,227,307,254,280,225   ,225
Design Communication (Dublin),,,,,300  ,
Interior Architecture (Dublin),267,361,254,301,288  ,274
Fashion Design (Dublin),,,217,412,351  ,
